
"Source: Whip Media CVMi.  Movies only. Lionsgate, Universal Pictures, Warner Bros. Pictures, 20th Century Studios, Netflix, Columbia Pictures, Paramount Pictures, New Line Cinema, A24, MGM, Focus Features, Sony Pictures Classics, Screen Gems, Amazon MGM Studios, STX Entertainment, United Artists Pictures, Relativity Media, Searchlight Pictures, Neon, Metro-Goldwyn-Mayer, IFC Films, Annapurna Pictures, Roadside Attractions, IFC, Hulu, Warner Bros., HBO Films titles only. United States originated titles only. First released between 2023/01/01 and 2025/10/05 Yes sample."

Audience User Age Bucket,Audience User Gender,Content Details Title,Performance Viewer Count
50-54,female,Fast X,"9,853"
30-34,female,Wicked,"9,775"
25-29,female,Upgraded,"9,754"
35-39,male,Alien: Romulus,"9,741"
25-29,male,Saltburn,"9,737"
25-29,male,Scream VI,"9,722"
35-39,female,John Wick: Chapter 4,"9,707"
18-24,female,Kung Fu Panda 4,"9,702"
18-24,male,Road House,"9,689"
40-44,male,Road House,"9,688"
40-44,female,Poor Things,"9,654"
30-34,male,Poor Things,"9,649"
25-29,male,Gladiator II,"9,641"
45-49,male,Scream VI,"9,633"
35-39,male,The Fall Guy,"9,618"
50-54,male,Road House,"9,615"
50-54,male,Gran Turismo,"9,515"
40-44,male,No Hard Feelings,"9,481"
45-49,male,Beetlejuice Beetlejuice,"9,434"
40-44,female,No Hard Feelings,"9,416"
18-24,male,Beetlejuice Beetlejuice,"9,382"
40-44,male,Ghostbusters: Frozen Empire,"9,375"
30-34,female,Dungeons & Dragons: Honor Among Thieves,"9,340"
35-39,male,Gran Turismo,"9,332"
35-39,male,Madame Web,"9,329"
50-54,female,Saltburn,"9,297"
40-44,male,Beetlejuice Beetlejuice,"9,275"
25-29,female,KPop Demon Hunters,"9,272"
35-39,male,Poor Things,"9,265"
45-49,male,Murder Mystery 2,"9,263"
35-39,female,A Man Called Otto,"9,245"
35-39,male,A Man Called Otto,"9,206"
40-44,male,Air,"9,192"
45-49,female,No Hard Feelings,"9,188"
35-39,male,The Equalizer 3,"9,161"
35-39,female,Fast X,"9,140"
45-49,female,Poor Things,"9,139"
18-24,female,John Wick: Chapter 4,"9,126"
35-39,male,Scream VI,"9,084"
40-44,female,Aquaman and The Lost Kingdom,"9,075"
18-24,male,Red One,"9,065"
50-54,male,Bad Boys: Ride or Die,"9,033"
45-49,female,Scream VI,"9,016"
18-24,male,A Man Called Otto,"9,004"
25-29,male,Sinners,"8,999"
40-44,male,Murder Mystery 2,"8,963"
25-29,male,Furiosa: A Mad Max Saga,"8,923"
45-49,male,Air,"8,906"
50-54,male,Ghostbusters: Frozen Empire,"8,901"
50-54,male,Murder Mystery 2,"8,861"
45-49,male,No Hard Feelings,"8,829"
45-49,male,Poor Things,"8,827"
25-29,male,The Fall Guy,"8,822"
45-49,male,Red One,"8,770"
40-44,male,Poor Things,"8,743"
35-39,male,Bad Boys: Ride or Die,"8,741"
35-39,female,Wicked,"8,724"
50-54,female,Dungeons & Dragons: Honor Among Thieves,"8,718"
40-44,female,Beetlejuice Beetlejuice,"8,709"
35-39,male,Murder Mystery 2,"8,688"
18-24,male,A Haunting in Venice,"8,683"
30-34,male,The Fall Guy,"8,666"
30-34,male,Madame Web,"8,657"
50-54,female,Mission: Impossible – Dead Reckoning Part One,"8,646"
18-24,male,Weapons,"8,636"
45-49,female,Beetlejuice Beetlejuice,"8,603"
18-24,female,Totally Killer,"8,575"
50-54,female,No Hard Feelings,"8,561"
30-34,male,Murder Mystery 2,"8,552"
40-44,female,Scream VI,"8,533"
25-29,male,Gran Turismo,"8,497"
35-39,male,Road House,"8,474"
25-29,female,Fast X,"8,444"
30-34,male,Scream VI,"8,420"
25-29,male,Murder Mystery 2,"8,396"
18-24,male,The Equalizer 3,"8,388"
50-54,male,Red One,"8,375"
50-54,male,Conclave,"8,362"
30-34,male,Saltburn,"8,351"
30-34,male,Sinners,"8,318"
25-29,male,Kung Fu Panda 4,"8,310"
18-24,female,Miller's Girl,"8,308"
35-39,female,Aquaman and The Lost Kingdom,"8,287"
40-44,male,Red One,"8,278"
25-29,female,Scream VI,"8,270"
45-49,male,Expend4bles,"8,263"
30-34,female,John Wick: Chapter 4,"8,261"
25-29,male,Madame Web,"8,248"
25-29,male,Creed III,"8,239"
35-39,male,Air,"8,235"
35-39,male,Sinners,"8,234"
18-24,female,The Fall Guy,"8,216"
25-29,male,Mickey 17,"8,215"
50-54,male,Scream VI,"8,211"
18-24,male,Ballerina,"8,205"
50-54,male,Beetlejuice Beetlejuice,"8,199"
35-39,male,65,"8,191"
45-49,female,Twisters,"8,165"
35-39,male,Twisters,"8,164"
45-49,male,Creed III,"8,149"
50-54,male,Expend4bles,"8,149"
40-44,male,Jurassic World: Rebirth,"8,135"
25-29,male,Evil Dead Rise,"8,132"
50-54,male,No Hard Feelings,"8,097"
30-34,male,Alien: Romulus,"8,057"
18-24,female,A Man Called Otto,"8,053"
35-39,female,Beetlejuice Beetlejuice,"8,017"
50-54,female,Extraction 2,"8,005"
18-24,male,Mission: Impossible - The Final Reckoning,"7,989"
30-34,female,Fast X,"7,986"
30-34,female,Upgraded,"7,970"
18-24,female,Nimona,"7,961"
30-34,male,Gran Turismo,"7,961"
40-44,female,Twisters,"7,957"
18-24,female,Final Destination: Bloodlines,"7,950"
40-44,male,Expend4bles,"7,945"
50-54,female,Twisters,"7,931"
40-44,male,Sinners,"7,924"
45-49,female,Mission: Impossible – Dead Reckoning Part One,"7,923"
25-29,female,Dungeons & Dragons: Honor Among Thieves,"7,884"
45-49,female,Extraction 2,"7,883"
18-24,male,Air,"7,866"
18-24,male,Twisters,"7,850"
25-29,male,Five Nights at Freddy's,"7,828"
50-54,female,Poor Things,"7,825"
18-24,male,Nimona,"7,813"
30-34,female,A Man Called Otto,"7,806"
40-44,male,Mickey 17,"7,797"
40-44,male,Creed III,"7,774"
40-44,female,Wicked,"7,773"
45-49,male,Mickey 17,"7,771"
18-24,female,Shazam! Fury of the Gods,"7,756"
35-39,female,Scream VI,"7,745"
18-24,female,Past Lives,"7,693"
45-49,male,Conclave,"7,680"
45-49,male,Evil Dead Rise,"7,679"
18-24,female,Gladiator II,"7,670"
35-39,male,Mickey 17,"7,642"
30-34,male,Mickey 17,"7,642"
35-39,male,Beetlejuice Beetlejuice,"7,638"
50-54,male,Mickey 17,"7,630"
18-24,female,A Haunting in Venice,"7,624"
45-49,male,The Pope's Exorcist,"7,618"
50-54,male,Mission: Impossible - The Final Reckoning,"7,605"
35-39,male,Creed III,"7,554"
40-44,male,Evil Dead Rise,"7,548"
30-34,male,A Man Called Otto,"7,539"
50-54,male,Poor Things,"7,532"
50-54,female,Conclave,"7,515"
18-24,male,The Pope's Exorcist,"7,510"
45-49,male,Sinners,"7,501"
18-24,female,Twisters,"7,493"
25-29,male,The Nun II,"7,439"
18-24,female,Blue Beetle,"7,438"
45-49,female,Wicked,"7,412"
50-54,male,Air,"7,393"
30-34,female,KPop Demon Hunters,"7,377"
50-54,male,A Haunting in Venice,"7,364"
35-39,male,Evil Dead Rise,"7,351"
30-34,male,Bad Boys: Ride or Die,"7,349"
45-49,female,Madame Web,"7,347"
40-44,male,The Pope's Exorcist,"7,341"
45-49,male,Jurassic World: Rebirth,"7,322"
18-24,female,Materialists,"7,314"
25-29,male,Alien: Romulus,"7,302"
30-34,male,The Equalizer 3,"7,299"
50-54,male,The Pope's Exorcist,"7,269"
40-44,female,Shazam! Fury of the Gods,"7,246"
35-39,male,Jurassic World: Rebirth,"7,243"
18-24,female,Conclave,"7,223"
50-54,male,The Accountant 2,"7,203"
45-49,male,A Haunting in Venice,"7,189"
50-54,male,Plane,"7,156"
