
"Source: Whip Media CVMi. Movies only. Neon, A24 titles only. United States originated titles only. Balanced sample."

Content Details Title,Audience User Gender,Audience User Age Bucket,Performance Viewer Count
Causeway,female,18-24,466
Ingrid Goes West,male,30-34,464
VAL,male,50-54,461
Y2K,male,35-39,459
Eighth Grade,male,30-34,457
The Bad Batch,male,18-24,456
Queer,female,30-34,454
Beach Rats,male,35-39,453
While We're Young,female,50-54,452
Stephen Curry: Underrated,male,30-34,452
VAL,female,45-49,451
Dark Places,female,30-34,451
Equals,male,45-49,447
Highest 2 Lowest,female,45-49,446
Equals,male,40-44,444
Queer,female,40-44,442
While We're Young,female,45-49,437
Mid90s,male,50-54,435
The Bad Batch,male,25-29,434
The Bad Batch,female,35-39,434
Stephen Curry: Underrated,male,35-39,432
Highest 2 Lowest,female,40-44,430
The Farewell,male,50-54,430
While We're Young,female,40-44,428
Waves,male,50-54,427
Equals,male,50-54,427
The Spectacular Now,male,40-44,421
Vox Lux,female,50-54,420
Waves,male,30-34,418
Green Room,female,18-24,417
C'mon C'mon,female,25-29,416
Green Room,female,30-34,416
Ingrid Goes West,male,35-39,416
Skin,female,40-44,415
Green Room,female,35-39,415
The Legend of Ochi,male,50-54,414
Causeway,female,25-29,410
Y2K,female,18-24,408
Beach Rats,male,40-44,407
Barely Lethal,male,25-29,406
Waves,male,40-44,403
Stephen Curry: Underrated,male,50-54,401
VAL,male,45-49,400
The Bad Batch,female,30-34,398
Equals,male,18-24,398
Dark Places,male,40-44,397
Barely Lethal,male,45-49,397
Waves,male,35-39,393
Y2K,male,45-49,393
Y2K,male,25-29,392
VAL,female,50-54,392
Vox Lux,female,40-44,390
Green Room,female,25-29,389
Green Room,female,40-44,387
Eighth Grade,male,45-49,384
After Yang,female,45-49,384
Equals,male,35-39,382
After Yang,male,30-34,378
Green Room,female,45-49,375
The Kill Team,male,50-54,373
Dark Places,male,45-49,373
Stephen Curry: Underrated,male,25-29,369
Y2K,male,30-34,369
